2.999978941676228,3.0000106271514313,-0.0010013929453328123;2.9865364106567682,3.149191311188187,1.7507963267948965
2.9999789384585207,3.000010646087014,-0.0010013929453614213;2.968568941524736,3.23193763721612,1.7836119557539156
2.9999789352408,3.0000106650226392,-0.0010013929453900582;2.948926647670334,3.244930767677874,1.882750916207599
2.9999789319255585,3.000010684532115,-0.0010013929454195034;2.9743281099462244,3.2808523290392007,1.8130241569266707
2.9999789287078107,3.0000107034678263,-0.0010013929454481228;2.9463186899329266,3.3133371490588024,1.8705733973190253
2.999978925490048,3.000010722403578,-0.0010013929454767492;2.9387453779510766,3.285200364875138,1.849701546624901
3.0004437198448115,3.0000109617984605,-0.0010010715412655594;2.9261538282933337,3.268382308936642,1.8655756464385547
3.001762515137072,3.000011153205062,-0.0010011319936770666;2.9237833207467703,3.2411973683332698,1.8500017524439414
3.003937363208314,3.00001139618854,-0.0010012243210496506;2.93316891892722,3.294111895585741,1.854477725613755
3.0070666191866593,3.00001163527353,-0.001001359139880132;2.89946780286143,3.2155489070537886,1.823180294028424
3.0109421351600405,3.00001172985385,-0.0010015272466122917;2.847389520520224,3.190114756242717,1.8321141933832985
3.015589695545723,3.000011444473839,-0.0010017355153896235;2.8617834486361233,3.1837976993302486,1.8478330162602095
3.021080922655752,3.0000101869298534,-0.0010019823917851861;2.839706283687084,3.235325789121254,1.8314177617697969
3.0269280314675067,3.0000063097928846,-0.001002226193000378;2.86272235073247,3.2286223218895977,1.8277224520148914
3.033048637331447,2.999987968340482,-0.0010024003715012504;2.858121252170764,3.2562360910755808,1.8374452275998228
3.0394034361949847,2.9999670923539994,-0.0010004966010543175;2.883052061245089,3.262414070166827,1.815087416924384
3.045771144073271,2.999973248206881,-0.0010005488528459158;2.8838409238785743,3.2840178385508914,1.8707075694297621
3.0526167866151837,2.9999743933202963,-0.0010006939392941672;2.900887631542224,3.2644557397805976,1.8624083729321388
3.0604114356999808,2.9999722820273482,-0.0010009977799716116;2.9064440637881757,3.271792165019163,1.8418762879628734
3.068822986800948,2.9999667731553465,-0.0010014335897527045;2.900470727144445,3.3044364161142585,1.869144543232041
3.078020682061931,2.999956168556192,-0.0010019448681983512;2.8895678010659127,3.31225709667719,1.8389407432283513
3.088040941148952,2.9999323229880632,-0.00100236175408085;2.875110872296211,3.3147562370961885,1.8784082993955606
3.097904388761803,2.999897281639613,-0.0010004993676987588;2.885239137327279,3.3506678233463574,1.880731988894221
3.108019472303537,2.999887310667797,-0.001000604567503411;2.890198176892695,3.3210311186585093,1.8409390361650049
3.119068369447248,2.9998676135268005,-0.0010008851884366204;2.8879141801887838,3.3576636694043818,1.8464189512734426
3.13061273196932,2.9998403289744746,-0.0010013145559968524;2.879767034245086,3.3430622040105935,1.8262455960299133
3.1429759598953124,2.999803319368285,-0.0010018200978934438;2.86458489567535,3.386938655535391,1.8398565397809734
3.156341617718646,2.9997517686149666,-0.0010022512393608914;2.8593214960379267,3.376975002235424,1.8396098185545031
3.169524053221036,2.999684757421739,-0.0010005602598275598;2.8717351240604128,3.398865634154559,1.84034147802915
3.1828814701856243,2.9996182429197056,-0.0010005822070990114;2.867263000170608,3.3960247821296234,1.837209938971027
3.197196711315997,2.999525415594715,-0.0010008198109163376;2.867597827167057,3.411571503897239,1.8700054398116308
3.2118773450856977,2.9994054641093815,-0.0010012203214102428;2.832190503966915,3.482382624067695,1.8031411983807224
3.2273923939353555,2.999245734228778,-0.0010017206833821818;2.844776791083032,3.4778678386014494,1.8475844491520952
3.243993249859383,2.9990320081432253,-0.0010020115969904021;2.865364727011704,3.460070736452952,1.8039638598798282
3.260203643951889,2.99880012877604,-0.0010014195513802088;2.8448241517073187,3.517534430237461,1.8357001222341183
3.2764574122753456,2.998547240137276,-0.0010012789979904728;2.834585704115367,3.5236889518312418,1.8515278879899115
3.2933927374996066,2.9982981806472084,-0.0010014154054659198;2.8417985765568865,3.52887330736708,1.8489123270680308
3.3098658814566937,2.998101537234099,-0.0010013820871499837;2.8273761965089537,3.5566998539518493,1.8540480859572448
3.3263425264058784,2.997950876226209,-0.0010015045845373077;2.8176876436301366,3.5449041173498346,1.8439702104407534
3.343321490059531,2.9978436325523603,-0.0010018227891889775;2.804779617820115,3.554251799034044,1.8057201289144862
